"idnum","measurement.no","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1h2c","h1c","h2h4c","h42Kc","h2Kh5Kc","h1a1c","h1a2c","h1a3c","cpp","hnr05","hnr15","hnr25","hnr35","strF0","sF1","sF2","sB1","sB2","energy","soe"
1,"01","f3","bahl","1","a","breathy","F",146,4.384,5.256,12.7,13.09,5.799,32.347,31.378,29.53,20.664,29.538,30.763,33.889,36.235,226.806,668.992,1398.693,175.287,292.391,0.272,0.051
1,"02","f3","bahl","1","a","breathy","F",146,4.384,5.256,12.7,13.09,5.799,32.347,31.378,29.53,20.664,29.538,30.763,33.889,36.235,214.834,674.967,1489.565,271.722,296.158,0.282,0.073
1,"03","f3","bahl","1","a","breathy","F",146,5.41,4.882,10.601,3.366,15.126,25.877,27.025,28.042,19.95,31.475,30.419,33.707,36.2,202.504,919.207,1635.749,548.747,164,0.234,0.059
1,"04","f3","bahl","1","a","breathy","F",146,2.068,4.885,15.918,4.808,11.766,32.683,27.976,31.615,20.327,33.023,31.962,34.181,36.814,195.068,961.171,1722.57,434.546,222.353,0.238,0.078
1,"05","f3","bahl","1","a","breathy","F",146,4.287,6.398,10.708,13.719,8.074,32.037,31.033,30.354,22.205,30.275,30.425,33.748,36.642,191.992,953.127,1797.172,275.845,202.273,0.238,0.093
1,"06","f3","bahl","1","a","breathy","F",146,5.701,7.29,8.578,18.073,5.523,33.846,32.875,30.857,23.576,28.797,29.092,33.054,35.926,189.934,961.412,1844.138,524.499,232.74,0.173,0.091
1,"07","f3","bahl","1","a","breathy","F",146,5.034,5.491,9.186,18.834,2.278,36.879,32.731,28.787,22.06,28.974,30.997,34.798,36.987,187.19,952.031,1985.416,539.478,442.689,0.114,0.065
1,"08","f3","bahl","1","a","breathy","F",146,3.261,3.88,12.512,21.621,-1.396,35.79,34.841,29.104,19.373,26.971,30.056,33.34,35.579,189.925,825.134,2020.164,422.482,385.775,0.1,0.067
1,"09","f3","bahl","1","a","breathy","F",146,4.574,4.029,19.902,11.532,0.55,29.71,32.711,28.135,17.543,27.487,32.016,34.138,35.438,193.667,785.298,2004.539,230.141,143.307,0.109,0.075
1,"10","f3","bahl","1","a","breathy","F",146,6.005,4.775,20.622,7.252,2.574,28.603,31.91,29.297,17.34,29.413,34.56,36.386,37.151,188.809,870.504,2013.565,351.319,260.263,0.115,0.08
